cycle;name;location.x;location.y;location.z;name;type;id;color;line;connected;momentToConnect;neighbors;connected_neighbors;individual_chance_to_connect
764;;403.64078277680426;678.2793944674943;0.0;;EFH;167319790;rgb (0, 255, 0,255);nil;true;3;[building(131),building(129),building(121)];[building(129),building(131),building(121)];0.15500000000000003
764;;386.156148413592;666.661073671002;0.0;;EFH;167319793;rgb (0, 255, 0,255);nil;true;31;[building(60),building(85),building(130),building(121)];[building(130),building(121),building(60),building(85)];0.20500000000000002
764;;484.9904161844752;330.20300821044174;0.0;;MFH;331831162;rgb (0, 255, 0,255);nil;true;17;[building(26),building(24)];[building(24),building(26)];0.10500000000000001
764;;516.5146117172437;398.2753902858123;0.0;;MFH;331831170;rgb (0, 255, 0,255);nil;true;31;[building(5),building(26)];[building(5),building(26)];0.10500000000000001
764;;675.7799637925636;1012.8790345243178;0.0;;EFH;331831198;rgb (0, 255, 0,255);nil;true;64;[building(120)];[building(120)];0.055
764;;148.5812283482466;340.7146249792793;0.0;;SON;398472696;rgb (0, 255, 0,255);nil;true;57;[];[];0.005
764;;451.61534858474045;467.6074331276119;0.0;;MFH;398498093;rgb (0, 255, 0,255);nil;true;40;[building(29)];[building(29)];0.055
764;;408.4656875634799;471.77060864325614;0.0;;MFH;398498125;rgb (0, 255, 0,255);nil;true;10;[building(29),building(22)];[building(22),building(29)];0.10500000000000001
764;;361.6256263944919;463.67312839307954;0.0;;DHH;398519144;rgb (0, 255, 0,255);nil;true;41;[building(146),building(19),building(1)];[building(1),building(146),building(19)];0.15500000000000003
764;;396.89959247005754;394.6382948223036;0.0;;DHH;398519145;rgb (0, 255, 0,255);nil;true;75;[building(10),building(18)];[building(18),building(10)];0.10500000000000001
764;;356.97485709699686;357.54886938328855;0.0;;DHH;398519147;rgb (0, 255, 0,255);nil;true;98;[building(11),building(13)];[building(11),building(13)];0.10500000000000001
764;;398.95900304967654;352.1402775354218;0.0;;DHH;398519150;rgb (0, 255, 0,255);nil;true;47;[building(10),building(28)];[building(28),building(10)];0.10500000000000001
